Quarter,Company,Profit,MarketShare
2,Novo Nordisk,-416420.454872282,0.5
2,AI Corp,3460541403.70661,0.249228554287969
2,Commerce Bank,718544.45431536,0.284246517192888
2,Wine Co,1639316381.79368,0.170218922231919
3,Novo Nordisk,-416544.839824552,0.5
3,AI Corp,4501218717.84605,0.249628084579434
3,Commerce Bank,705513.392328917,0.283145165363943
3,Wine Co,2135297202.29942,0.171493005472224
4,Novo Nordisk,-409953.032415302,0.5
4,AI Corp,4502657647.83453,0.250361456343731
4,Commerce Bank,715292.171779175,0.281118408483701
4,Wine Co,2138542079.73144,0.172483781010605
1,Novo Nordisk,-337895.857618056,0.5
1,AI Corp,5862814345.43613,0.251522687797054
1,Commerce Bank,714643.081150148,0.280494100470139
1,Wine Co,2783773985.72945,0.173342501724897
2,Novo Nordisk,-338039.52298575,0.5
2,AI Corp,7629239945.78396,0.252245302610522
2,Commerce Bank,713823.490444833,0.279705802161262
2,Wine Co,2786100940.95258,0.173889040968769
3,Novo Nordisk,-310583.753278211,0.5
3,AI Corp,9925053992.26779,0.25276135318416
3,Commerce Bank,713047.325754692,0.278959271839871
3,Wine Co,2903353835.82302,0.17428493711408
4,Novo Nordisk,-338105.936565395,0.5
4,AI Corp,12909651818.5707,0.253160561724975
4,Commerce Bank,712370.664122,0.278308445497803
4,Wine Co,3787680205.19255,0.176593428357429
1,Novo Nordisk,-338316.836361786,0.5
1,AI Corp,16781994648.8677,0.253134170344856
1,Commerce Bank,748901.078350353,0.277375879011698
1,Wine Co,4936473363.95003,0.178258279237899
2,Novo Nordisk,-400889.049083203,0.5
2,AI Corp,18456579654.3961,0.252989959307545
2,Commerce Bank,747959.076576625,0.276469843352224
2,Wine Co,6430014483.88706,0.179550225815201
3,Novo Nordisk,-462842.364762836,0.5
3,AI Corp,23988329525.9498,0.252828813739381
3,Commerce Bank,747132.229615835,0.275674565835454
3,Wine Co,8372191790.31861,0.180589342798207
4,Novo Nordisk,-525348.989323427,0.5
4,AI Corp,31178598631,0.252681224081114
4,Commerce Bank,746432.111593504,0.275001178680819
4,Wine Co,10897844500.7424,0.181438604466219
1,Novo Nordisk,-518968.357543514,0.5
1,AI Corp,40525205728.0413,0.252554268882585
1,Commerce Bank,745847.535692495,0.274438922189637
1,Wine Co,10909350659.9797,0.1821374898999
2,Novo Nordisk,-512530.880003625,0.5
2,AI Corp,52675146830.3318,0.252447599841346
2,Commerce Bank,745362.175892248,0.273972093677246
2,Wine Co,14194514328.8301,0.182714295880749
3,Novo Nordisk,-512531.159591627,0.5
3,AI Corp,68469440270.394,0.252358808953013
3,Commerce Bank,744960.119103001,0.27508538762387
3,Wine Co,14204715445.9765,0.18319092429474
4,Novo Nordisk,-512657.85930963,0.5
4,AI Corp,68438376781.2773,0.255026584298431
4,Commerce Bank,747183.654396528,0.27722402719146
4,Wine Co,18584293543.1882,0.183397253912139
1,Novo Nordisk,-513078.681979593,0.5
1,AI Corp,89496865848.0381,0.259361560365563
1,Commerce Bank,748038.593388517,0.278046324171168
1,Wine Co,23997032831.4036,0.182943019559444
2,Novo Nordisk,-513470.361305893,0.499718219834739
2,AI Corp,116779538032.259,0.262105313613078
2,Commerce Bank,747825.420092825,0.277841289942008
2,Wine Co,31151315111.2036,0.181989398246125
3,Novo Nordisk,-513635.365770871,0.5
3,AI Corp,152228239565.854,0.264124509158234
3,Commerce Bank,747398.203794261,0.277430384982375
3,Wine Co,40439230087.7635,0.181048868712042
4,Novo Nordisk,-513286.265242075,0.5
4,AI Corp,198293310819.91,0.265609431745869
4,Commerce Bank,746865.125618902,0.27691766000708
4,Wine Co,52500685871.0519,0.180163886686881
1,Novo Nordisk,-513293.47359911,0.5
1,AI Corp,258197626846.651,0.266808492705402
1,Commerce Bank,746412.309201141,0.276482132354024
1,Wine Co,68175040509.3633,0.179429525076295
2,Novo Nordisk,-513172.33387551,0.5
2,AI Corp,336097208321.912,0.267783960305256
2,Commerce Bank,746036.356001447,0.27612053324167
2,Wine Co,88546434535.3982,0.178825412950764
3,Novo Nordisk,-513173.140135144,0.5
3,AI Corp,437393463685.925,0.268579997655025
3,Commerce Bank,745727.009770815,0.275822998009897
3,Wine Co,88479924604.1763,0.178830173706781
4,Novo Nordisk,-513214.712020993,0.5
4,AI Corp,437722408433.233,0.269140659581466
4,Commerce Bank,745377.521241668,0.275486853133299
4,Wine Co,115801803642.314,0.179273895051023
1,Novo Nordisk,-512528.555640173,0.5
1,AI Corp,437920840822.197,0.269478872872226
1,Commerce Bank,985284.358575577,0.275089089190767
1,Wine Co,114740611098.342,0.179556620806758
2,Novo Nordisk,-524513.487018084,0.5
2,AI Corp,438059420252.619,0.26971507123399
2,Commerce Bank,1297051.57586799,0.274723114820444
2,Wine Co,114355370172.193,0.179581916424357
3,Novo Nordisk,-524505.305986455,0.5
3,AI Corp,438183661593.569,0.269926831385599
3,Commerce Bank,1296555.14972862,0.274443303066752
3,Wine Co,113961565146.875,0.179445089922155
4,Novo Nordisk,-524489.25955011,0.5
4,AI Corp,438306824321.984,0.270136753122134
4,Commerce Bank,1701906.01959489,0.274252238083588
4,Wine Co,113567130949.942,0.179196335745523
1,Novo Nordisk,-524471.247155851,0.5
1,AI Corp,438431795316.871,0.270349756914765
1,Commerce Bank,2228959.01680018,0.274138220721338
1,Wine Co,113176711407.582,0.17886714919408
2,Novo Nordisk,-524101.231782732,0.5
2,AI Corp,438558323483.35,0.270565414790891
2,Commerce Bank,2914270.47932962,0.274087196521302
2,Wine Co,112793349247.869,0.178479857254879
3,Novo Nordisk,-526282.497958768,0.5
3,AI Corp,438685372131.229,0.270781959788963
3,Commerce Bank,3805370.67286633,0.274086273208332
3,Wine Co,112419152380.981,0.17805135720962
4,Novo Nordisk,-526265.963114536,0.5
4,AI Corp,438811853728.096,0.270997538290639
4,Commerce Bank,4964060.18381808,0.274124525768663
4,Wine Co,112055598761.971,0.177594814260593
1,Novo Nordisk,-526250.212576422,0.5
1,AI Corp,438936834391.675,0.271210558562837
1,Commerce Bank,5466575.36715406,0.274192967831875
1,Wine Co,111974790392.844,0.180120593005334
2,Novo Nordisk,-504997.904087535,0.5
2,AI Corp,438740950994.734,0.270876689839942
2,Commerce Bank,5400723.98292642,0.27373526843854
2,Wine Co,117379918787.146,0.184848864193912
3,Novo Nordisk,-526771.423312116,0.5
3,AI Corp,438165883703.832,0.269896530290994
3,Commerce Bank,5392752.47176151,0.272646597138468
3,Wine Co,117826126633.782,0.190224064765475
4,Novo Nordisk,-527024.875265075,0.5
4,AI Corp,437352702518.525,0.26851052326814
4,Commerce Bank,7032039.8041596,0.27116633121378
4,Wine Co,118486278583.243,0.193962362369581
1,Novo Nordisk,-526394.400650599,0.5
1,AI Corp,436602731396.051,0.267232253109571
1,Commerce Bank,9160397.64026756,0.2698100769736
1,Wine Co,118515596330.373,0.196883587983885
2,Novo Nordisk,-526300.10061031,0.5
2,AI Corp,435965267505.397,0.266145743183829
2,Commerce Bank,9083644.6504508,0.268659866871309
2,Wine Co,118888985422.913,0.199006690002265
3,Novo Nordisk,-526291.430013653,0.5
3,AI Corp,435460306450.996,0.265285074515748
3,Commerce Bank,11848321.5823675,0.267747761842551
3,Wine Co,123904068273.299,0.20074214908115
4,Novo Nordisk,-526288.582053347,0.5
4,AI Corp,435054852808.847,0.264594008852135
4,Commerce Bank,12624660.8613685,0.315918081094925
4,Wine Co,123823871538.366,0.204153652579383
1,Novo Nordisk,-592518.959671118,0.496706299699945
1,AI Corp,424783242285.598,0.255529560216228
1,Commerce Bank,12302274.0281978,0.298914614702526
1,Wine Co,122416188084.094,0.200066386978106
2,Novo Nordisk,-590712.955542283,0.5
2,AI Corp,423369078961.052,0.253091087483505
2,Commerce Bank,15963281.5379465,0.294899126024445
2,Wine Co,121910500557.2,0.200765532145287
3,Novo Nordisk,-593257.000782863,0.5
3,AI Corp,422470044668.795,0.251540863001368
3,Commerce Bank,20731916.2098846,0.292154369700362
3,Wine Co,121418582841.238,0.201372136147288
4,Novo Nordisk,-593214.397854614,0.5
4,AI Corp,417415328836.595,0.250887859169139
4,Commerce Bank,26952595.6663889,0.290649447098143
4,Wine Co,121545392627.638,0.202080629008127
1,Novo Nordisk,-593107.271899204,0.5
1,AI Corp,416867848472.574,0.249933240572726
1,Commerce Bank,35049642.0704932,0.289712813922852
1,Wine Co,121108888877.305,0.202838834828123
2,Novo Nordisk,-593023.355729934,0.5
2,AI Corp,416532723623.437,0.249348897399655
2,Commerce Bank,35024728.0565227,0.289672102463593
2,Wine Co,121200843089.642,0.203355015149778
3,Novo Nordisk,-593015.284170229,0.5
3,AI Corp,416273088349.616,0.248896182239509
3,Commerce Bank,45615774.2422104,0.290159767222773
3,Wine Co,121277406494.722,0.204284799953073
4,Novo Nordisk,-592400.119540897,0.5
4,AI Corp,441819287816.556,0.29344002103531
4,Commerce Bank,59371381.4584977,0.290371074952069
4,Wine Co,120931817646.365,0.205405607095256
1,Novo Nordisk,-595675.375411021,0.497332393735246
1,AI Corp,561216453333.558,0.27580402905169
1,Commerce Bank,76412917.1462668,0.282230618140275
1,Wine Co,120008321035.306,0.203198232111614
2,Novo Nordisk,-593998.650100025,0.5
2,AI Corp,610392173645.756,0.267334554514235
2,Commerce Bank,99261780.8532888,0.281247898926072
2,Wine Co,121132428664.015,0.208324614943444
3,Novo Nordisk,-572460.194517854,0.5
3,AI Corp,605103057491.382,0.260885316466409
3,Commerce Bank,99197800.1841616,0.280761888210023
3,Wine Co,121703098461.606,0.21239756743904
4,Novo Nordisk,-577153.959642433,0.5
4,AI Corp,601283545092.135,0.256228027049727
4,Commerce Bank,129032567.718354,0.280885059331973
4,Wine Co,121832863548.017,0.215816036321147
1,Novo Nordisk,-573481.484320547,0.5
1,AI Corp,598386997790.916,0.252696147144442
1,Commerce Bank,129083511.04462,0.281182720508596
1,Wine Co,121852238615.408,0.218497929010793
2,Novo Nordisk,-573188.249148226,0.5
2,AI Corp,596148124215.176,0.249966196009413
2,Commerce Bank,167937795.18631,0.281519267090887
2,Wine Co,134430665105.107,0.220527900514639
3,Novo Nordisk,-535659.351634401,0.5
3,AI Corp,594407940175.457,0.247844317647961
3,Commerce Bank,218470090.568679,0.281853244599607
3,Wine Co,134372647820.674,0.222199910171398
4,Novo Nordisk,-535650.13329365,0.5
4,AI Corp,593033060528.52,0.246167870039057
4,Commerce Bank,284173618.167164,0.282140836857031
4,Wine Co,134156630405.074,0.223551796095651
1,Novo Nordisk,-535273.166702163,0.5
1,AI Corp,591939586290.379,0.244834551682057
1,Commerce Bank,369595616.806155,0.282377217495688
1,Wine Co,134331422532.81,0.224458874352202
2,Novo Nordisk,-535133.384927459,0.5
2,AI Corp,591090436514.406,0.243799148245326
2,Commerce Bank,480670406.016873,0.282600255910238
2,Wine Co,174819320638.624,0.225210655611243
3,Novo Nordisk,-535128.563482935,0.5
3,AI Corp,590419755619.484,0.242981359295483
3,Commerce Bank,625082137.105966,0.28278937721457
3,Wine Co,173324124482.984,0.225819987234438
4,Novo Nordisk,-534378.973421971,0.5
4,AI Corp,589886360816.975,0.24233096895531
4,Commerce Bank,812827179.982695,0.282943970220972
4,Wine Co,172844886892.357,0.226140451360024
1,Novo Nordisk,-537974.541545582,0.5
1,AI Corp,589482434955.418,0.241838445448769
1,Commerce Bank,1056946384.88081,0.283099161286257
1,Wine Co,172343873088.417,0.226261108441868
2,Novo Nordisk,-538203.157576557,0.5
2,AI Corp,589187105920.745,0.241478338544053
2,Commerce Bank,1374380876.21537,0.283262349738932
2,Wine Co,172337730344.563,0.226236167303923
3,Novo Nordisk,-538185.750777666,0.5
3,AI Corp,588979139892.836,0.241224756966205
3,Commerce Bank,1512177669.47228,0.283432925976106
3,Wine Co,171836447147.86,0.226248300977975
4,Novo Nordisk,-538180.188982744,0.5
4,AI Corp,588821856724.043,0.241032975094366
4,Commerce Bank,1966272588.41944,0.2835821169772
4,Wine Co,171326756845.508,0.226123212201017
1,Novo Nordisk,-500667.027479273,0.5
1,AI Corp,582445606927.95,0.240897596297905
1,Commerce Bank,1966661054.10527,0.283731775950628
1,Wine Co,171274462491.862,0.225909665080045
2,Novo Nordisk,-507017.728267815,0.5
2,AI Corp,581870097591.902,0.240188297695643
2,Commerce Bank,1967102970.55287,0.283887580060468
2,Wine Co,170784907184.17,0.225767709260259
3,Novo Nordisk,-506964.554659992,0.5
3,AI Corp,581496602395.268,0.239727975674208
3,Commerce Bank,2558123634.53992,0.284138485975005
3,Wine Co,170317784787.849,0.225623755415144
4,Novo Nordisk,-506220.488755876,0.5
4,AI Corp,581241782058.306,0.239413916983037
4,Commerce Bank,3326766516.54148,0.284403529931255
4,Wine Co,169861614533.474,0.225435282230276
1,Novo Nordisk,-506202.306770771,0.5
1,AI Corp,581067397620.533,0.239198993209918
1,Commerce Bank,3327886846.9399,0.284658922247064
1,Wine Co,169414970636.084,0.225200609289151
2,Novo Nordisk,-502664.90702232,0.5
2,AI Corp,580951961706.245,0.23905672178611
2,Commerce Bank,4327663907.28775,0.284898786652066
2,Wine Co,220153722216.17,0.224928561664967
3,Novo Nordisk,-502408.690762304,0.5
3,AI Corp,580881235479.619,0.238969553758508
3,Commerce Bank,5627666084.21295,0.285122684460646
3,Wine Co,219612147068.633,0.224735914399896
4,Novo Nordisk,-502040.368967966,0.5
4,AI Corp,580831555603.017,0.238908324748262
4,Commerce Bank,7317835374.74138,0.285312185197527
4,Wine Co,219075989211.089,0.224483102351956
1,Novo Nordisk,-502030.679617962,0.5
1,AI Corp,580807255531.608,0.238878375613459
1,Commerce Bank,9515415774.54076,0.285486714051001
1,Wine Co,218552654235.991,0.224197307685086
2,Novo Nordisk,-476072.681180613,0.5
2,AI Corp,580805350709.402,0.238876027975213
2,Commerce Bank,9517490889.78785,0.286152340209055
2,Wine Co,218045409662.483,0.223892522309038
3,Novo Nordisk,-476103.646727513,0.5
3,AI Corp,580759266499.735,0.238819230520409
3,Commerce Bank,12388536734.7985,0.287119668337062
3,Wine Co,217533448827.435,0.223505532642742
4,Novo Nordisk,-476148.836682626,0.5
4,AI Corp,580657355596.915,0.238693628281839
4,Commerce Bank,12213587376.6659,0.287797869435711
4,Wine Co,217015071771.161,0.223033848503424
1,Novo Nordisk,-390557.915960408,0.5
1,AI Corp,580565753028.862,0.238580730767561
1,Commerce Bank,13426628787.643,0.287325755540788
1,Wine Co,216515778526.171,0.222562278148339
2,Novo Nordisk,-279120.693987368,0.5
2,AI Corp,580623554095.753,0.238651968909824
2,Commerce Bank,17496340649.2033,0.29114252636575
2,Wine Co,216086293037.002,0.222257248702493
3,Novo Nordisk,-279662.006470941,0.5
3,AI Corp,580226005307.7,0.238162001533041
3,Commerce Bank,22816560953.5451,0.293532343624011
3,Wine Co,215511570569.519,0.221429024852348
4,Novo Nordisk,-376149.395018825,0.5
4,AI Corp,579776502962.599,0.237608002900659
4,Commerce Bank,29727803720.8693,0.295240578899912
4,Wine Co,236761354782.984,0.220545563415269
1,Novo Nordisk,-337654.530648203,0.5
1,AI Corp,579384561154.089,0.237124945963906
1,Commerce Bank,38712331466.584,0.296552862622532
1,Wine Co,236176877874.968,0.219802534672983
2,Novo Nordisk,-337665.851208186,0.5
2,AI Corp,579061300960.064,0.236726537129457
2,Commerce Bank,50393610917.0161,0.297583576453545
2,Wine Co,235947935267.607,0.219130468608752
3,Novo Nordisk,-337660.629501787,0.5
3,AI Corp,463046583099.319,0.236414685806189
3,Commerce Bank,65582422165.4768,0.298413388940378
3,Wine Co,235453268823.141,0.218599854059019
4,Novo Nordisk,-337658.967699569,0.5
4,AI Corp,462886324760.849,0.236167793599633
4,Commerce Bank,85330768550.0155,0.299077820098314
4,Wine Co,234990129890.322,0.218114454482247
1,Novo Nordisk,-337650.054814072,0.5
1,AI Corp,462765090522.889,0.235981021486519
1,Commerce Bank,111008212427.055,0.29962083027151
1,Wine Co,234841148004.553,0.217675976452302
2,Novo Nordisk,-337639.252036781,0.5
2,AI Corp,462676382692.176,0.23584435919317
2,Commerce Bank,111360753385.782,0.307069760532958
2,Wine Co,234443367149.224,0.217337530889695
3,Novo Nordisk,-338550.301471295,0.5
3,AI Corp,461929666931.64,0.234693977231461
3,Commerce Bank,112453061853.041,0.314657495217648
3,Wine Co,233738366582.397,0.216050248929175
4,Novo Nordisk,-339216.652682464,0.5
4,AI Corp,460845179092.953,0.233023227378232
4,Commerce Bank,124490881554.055,0.319662136222575
4,Wine Co,232882979434.198,0.214276349401703
1,Novo Nordisk,-339417.426023334,0.5
1,AI Corp,459840970642.985,0.23147615505474
1,Commerce Bank,125067909511.278,0.323306074399852
1,Wine Co,232079309895.92,0.212614010221066
2,Novo Nordisk,-339473.262271174,0.5
2,AI Corp,459007699808.053,0.230192427312022
2,Commerce Bank,125509497649.996,0.326094708567693
2,Wine Co,231599331927.479,0.211695014466209
3,Novo Nordisk,-339548.490622476,0.5
3,AI Corp,458295756480.61,0.229095615372412
3,Commerce Bank,125839092426.875,0.328176103369223
3,Wine Co,243971319619.662,0.248271272479413
4,Novo Nordisk,-344230.224026558,0.5
4,AI Corp,454360155217.667,0.223032472017674
4,Commerce Bank,124919893149.338,0.322371349374168
4,Wine Co,239112935180.246,0.234605532799233
1,Novo Nordisk,-341077.513837504,0.5
1,AI Corp,453557646486.678,0.221796136028753
1,Commerce Bank,124995811745.79,0.323350776182723
1,Wine Co,236549313111.819,0.227675782126048
2,Novo Nordisk,-340167.345491567,0.5
2,AI Corp,453565786440.576,0.221808618578744
2,Commerce Bank,125422018629.222,0.326042277546772
2,Wine Co,234836104364.592,0.223221675161478
3,Novo Nordisk,-302444.139412491,0.5
3,AI Corp,453727900005.23,0.222058368926042
3,Commerce Bank,125812721251.368,0.32850956909301
3,Wine Co,233524844243.604,0.219921405423581
4,Novo Nordisk,-308334.075168494,0.5
4,AI Corp,453907497544.523,0.222335054889415
4,Commerce Bank,126138889091.304,0.330569322748391
4,Wine Co,232475534704.534,0.217364155804507
1,Novo Nordisk,-184294.884874675,0.5
1,AI Corp,454068604199.958,0.222583254003615
1,Commerce Bank,126402777346.226,0.332735780109091
1,Wine Co,241576733898.705,0.215342869328526
2,Novo Nordisk,-184360.166859344,0.5
2,AI Corp,454160221768.286,0.222724399006239
2,Commerce Bank,126739185260.897,0.334860199954031
2,Wine Co,265871957635.002,0.215699160136288
3,Novo Nordisk,-184794.248315387,0.5
3,AI Corp,453998044328.702,0.222474550253938
3,Commerce Bank,126918005766.233,0.335989453499059
3,Wine Co,265111614771.572,0.215630013802457
4,Novo Nordisk,-184928.035514398,0.5
4,AI Corp,363038812618.226,0.222167210154102
4,Commerce Bank,127031872707.876,0.336708524543351
4,Wine Co,264300104887.82,0.21533170205
1,Novo Nordisk,-184946.749340993,0.5
1,AI Corp,362905490270.588,0.221910466503055
1,Commerce Bank,165252817582.308,0.337249379522407
1,Wine Co,263493237701.697,0.214953028854092
2,Novo Nordisk,-184931.147147253,0.5
2,AI Corp,362807570637.4,0.221721899135477
2,Commerce Bank,165344240943.668,0.337693486873593
2,Wine Co,263337091330.144,0.215045347219059
3,Novo Nordisk,-184988.530475162,0.5
3,AI Corp,362706052521.304,0.223026402039637
3,Commerce Bank,165401103228.268,0.337969706848666
3,Wine Co,262910201590.879,0.215571736325815
4,Novo Nordisk,-185335.454935337,0.5
4,AI Corp,363866503188.337,0.225261123722761
4,Commerce Bank,165355611781.632,0.337748723004204
4,Wine Co,262319592078.402,0.215588701695347
1,Novo Nordisk,-185668.717099868,0.5
1,AI Corp,364630010967.039,0.226731438176251
1,Commerce Bank,165233473013.182,0.337155409390194
1,Wine Co,261613143110.741,0.215222745339557
2,Novo Nordisk,-185752.418824324,0.5
2,AI Corp,365190365058.84,0.227810532251295
2,Commerce Bank,165116259681.167,0.336586022073537
2,Wine Co,260900329921.493,0.214763803600989
3,Novo Nordisk,-185760.729751485,0.5
3,AI Corp,365624776074.263,0.228647093203977
3,Commerce Bank,177441123008.471,0.396456522617055
3,Wine Co,260212583469.329,0.214298143065956
4,Novo Nordisk,-195179.124096726,0.492300988058645
4,AI Corp,361789654972.654,0.221261662244564
4,Commerce Bank,171787975654.481,0.368995223230482
4,Wine Co,256704012623.77,0.206304015482545
1,Novo Nordisk,-190537.178823106,0.5
1,AI Corp,362290115900.641,0.222225417894935
1,Commerce Bank,169791181576.535,0.359295394700614
1,Wine Co,205357442889.25,0.206284981867805
2,Novo Nordisk,-187166.548154876,0.5
2,AI Corp,362751837527.142,0.223114571875904
2,Commerce Bank,168288973962.599,0.351998119316847
2,Wine Co,205028004715.514,0.206401468434048
3,Novo Nordisk,-293587.257542727,0.5
3,AI Corp,375945202590.643,0.224680597805811
3,Commerce Bank,167398735913.904,0.347673609083926
3,Wine Co,204920162043.927,0.207192882658891
4,Novo Nordisk,-299216.36257955,0.5
4,AI Corp,377820103648.035,0.228172139136718
4,Commerce Bank,166789854762.72,0.344716150131349
4,Wine Co,204826792961.176,0.207977382178178
1,Novo Nordisk,-262281.051355509,0.5
1,AI Corp,379186812606.695,0.230717297878653
1,Commerce Bank,166256954459.204,0.342127479809904
1,Wine Co,204624074967.551,0.208345631042715
2,Novo Nordisk,-262322.368543238,0.5
2,AI Corp,494298150897.603,0.232658703580266
2,Commerce Bank,165826970383.137,0.340038745746391
2,Wine Co,204377993564.031,0.208518246629047
3,Novo Nordisk,-262325.585025027,0.5
3,AI Corp,511682920704.147,0.234195433395868
3,Commerce Bank,165490279088.284,0.341403200116702
3,Wine Co,204113376175.203,0.208579792057824
4,Novo Nordisk,-262701.561145022,0.5
4,AI Corp,513685904827.15,0.236973145726596
4,Commerce Bank,166200532661.607,0.347853399588971
4,Wine Co,203726511418.949,0.208185762244458
1,Novo Nordisk,-263812.370243063,0.5
1,AI Corp,514336541884.933,0.237875440736065
1,Commerce Bank,167471131853.953,0.354025590518459
1,Wine Co,203029498078.382,0.206708198808175
2,Novo Nordisk,-138249.547155818,0.5
2,AI Corp,514267984276.969,0.237780365937009
2,Commerce Bank,168210872925.567,0.357619031439786
2,Wine Co,202464019468.848,0.204816465633729
3,Novo Nordisk,-138511.246972307,0.5
3,AI Corp,514052040471.29,0.237480897875885
3,Commerce Bank,168710463219.753,0.360045891696594
3,Wine Co,201970313635.875,0.203664838698765
4,Novo Nordisk,-138669.871129043,0.5
4,AI Corp,513787191409.219,0.237113608641264
4,Commerce Bank,169051951652.685,0.361704740388584
4,Wine Co,201579298282.859,0.203161654924261
1,Novo Nordisk,-138797.858860148,0.5
1,AI Corp,513504080683.792,0.236720994369413
1,Commerce Bank,169279743873.059,0.365811286878514
1,Wine Co,201190206177.897,0.202623408549825

